instance,n,feasible_runs,best_cost,avg_cost,std_cost,avg_time_to_best_s,time_limit_s,max_iter
gr120_05_3,t,10,55730.570000,55743.760000,27.806962,10.2453,60,10000
gr120_05_4,t,10,56901.210000,56963.100000,65.371625,15.6694,60,10000
gr120_05_5,t,10,58298.390000,58429.279000,129.540508,25.4910,60,10000
gr120_10_2,t,10,18914.940000,18921.648000,8.659991,18.0039,60,10000
gr120_10_3,t,10,19517.080000,19576.557000,65.635693,19.3853,60,10000
gr120_10_4,t,10,19864.730000,19866.839000,3.588288,35.2831,60,10000
gr120_10_5,t,10,21515.650000,21662.355000,91.374287,22.8194,60,10000
gr120_15_2,t,10,9924.260000,9934.524000,10.679121,5.6632,60,10000
gr120_15_3,t,10,10349.780000,10370.648000,38.777333,29.2495,60,10000
gr120_15_4,t,10,10690.090000,10837.266000,90.384143,47.6529,60,10000
gr120_15_5,t,10,11929.380000,12073.627000,124.936242,26.4419,60,10000
gr120_20_2,t,10,6153.520000,6153.520000,0.000000,5.7007,60,10000
gr120_20_3,t,10,6755.640000,6766.697000,19.299747,24.6634,60,10000
gr120_20_4,t,10,6970.220000,7051.111000,56.851679,20.2072,60,10000
gr120_20_5,t,10,7719.970000,7850.147000,90.067323,34.0586,60,10000
gr137_05_2,t,10,34543.890000,34543.890000,0.000000,7.3537,60,10000
gr137_05_3,t,10,34812.570000,34812.570000,0.000000,3.7087,60,10000
gr137_05_4,t,10,35850.470000,35870.769000,55.096191,17.5950,60,10000
gr137_05_5,t,9,35110.110000,35144.350000,36.696550,13.6602,60,10000
gr137_10_2,t,10,11191.830000,11191.830000,0.000000,7.7974,60,10000
gr137_10_3,t,10,12149.490000,12173.914000,51.500380,13.4441,60,10000
gr137_10_4,t,10,12162.270000,12201.919000,62.866406,22.5517,60,10000
gr137_10_5,t,10,12367.600000,12507.778000,102.922940,32.8255,60,10000
gr137_15_2,t,10,5886.990000,5890.026000,4.947049,20.3190,60,10000
gr137_15_3,t,10,6419.120000,6429.581000,13.893071,26.1863,60,10000
gr137_15_4,t,10,6448.840000,6470.228000,18.947300,26.8242,60,10000
gr137_15_5,t,10,6582.010000,6617.443000,39.960616,25.5874,60,10000
gr137_20_2,t,10,3575.360000,3575.360000,0.000000,7.9012,60,10000
gr137_20_3,t,10,4072.510000,4110.436000,16.321587,31.6610,60,10000
gr137_20_4,t,10,4119.150000,4140.637000,20.661148,46.2023,60,10000
gr137_20_5,t,10,4176.030000,4242.553000,49.098199,38.7364,60,10000
kroA100_05_2,t,10,679873.900000,679873.900000,0.000000,2.6437,60,10000
kroA100_05_3,t,10,729716.180000,729716.180000,0.000000,3.1427,60,10000
kroA100_05_4,t,10,753057.210000,753137.274000,253.184599,31.5073,60,10000
kroA100_05_5,t,10,759789.410000,760937.372000,920.878428,28.6291,60,10000
kroA100_10_2,t,10,216577.400000,216577.400000,0.000000,6.7406,60,10000
kroA100_10_3,t,10,237592.860000,237762.429000,273.032029,7.6881,60,10000
kroA100_10_4,t,10,266252.160000,270828.195000,3084.504679,32.0707,60,10000
gr120_05_2,t,10,55060.100000,55060.100000,0.000000,2.3018,60,10000
